"steam_appid","name","developers","publishers","categories","genres","required_age","n_achievements","platforms","is_released","release_date","additional_content","total_reviews","total_positive","total_negative","review_score","review_score_desc","positive_percentual","metacritic","is_free","price_initial..USD.","Single.player","Family.Sharing","Steam.Achievements","In.App.Purchases","Steam.Trading.Cards","Steam.Cloud","Partial.Controller.Support","Multi.player","PvP","Shared.Split.Screen.PvP","Co.op","Shared.Split.Screen.Co.op","Remote.Play.Together","Full.controller.support","Online.PvP","Tracked.Controller.Support","VR.Only","Steam.Leaderboards","Shared.Split.Screen","Online.Co.op","Stats","Steam.Workshop","Remote.Play.on.TV","Captions.available","MMO","Cross.Platform.Multiplayer","Commentary.available","LAN.PvP","Includes.level.editor","VR.Supported","VR.Support","Remote.Play.on.Phone","Remote.Play.on.Tablet","Valve.Anti.Cheat.enabled","LAN.Co.op","Includes.Source.SDK","SteamVR.Collectibles","HDR.available","Steam.Turn.Notifications","Steam.Timeline","Adventure","Casual","Free.To.Play","Simulation","Nudity","Strategy","Indie","Action","RPG","Sports","Early.Access","Massively.Multiplayer","Racing","Violent","Gore","Design...Illustration","Sexual.Content","Audio.Production","Education","Software.Training","Utilities","Animation...Modeling","Web.Publishing","Game.Development","Photo.Editing","Accounting","windows","mac","linux","num_ac"
2605100,"Whispered Secrets: Tying the Knot","['grandma']","['Big Fish Games']","['Single-player', 'Family Sharing']","['Adventure', 'Casual']",0,0,"['windows', 'mac']",TRUE,"2023-09-26 0:00:00","[]",2,2,0,0,"2 user reviews",100,0,FALSE,9.99,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2605110,"Haunted Hotel: A Past Redeemed","['Elephant']","['Big Fish Games']","['Single-player', 'Family Sharing']","['Adventure', 'Casual']",0,0,"['windows', 'mac']",TRUE,"2023-09-19 0:00:00","[]",0,0,0,0,"No user reviews",0,0,FALSE,9.99,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2601690,"Dark City: Kyiv Collector's Edition","['Friendly Fox']","['Big Fish Games']","['Single-player', 'Family Sharing']","['Adventure', 'Casual']",0,0,"['windows', 'mac']",TRUE,"2023-09-22 0:00:00","[]",5,5,0,0,"5 user reviews",100,0,FALSE,13.99,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2563430,"Haunted Hotel: Pheonix","['Elephant Ar']","['Big Fish Games']","['Single-player', 'Family Sharing']","['Adventure', 'Casual']",0,0,"['windows', 'mac']",TRUE,"2023-10-17 0:00:00","[]",5,3,2,0,"5 user reviews",60,0,FALSE,9.99,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2560690,"Chimeras: Heavenfall Secrets Collector's Edition","['Elephant Games']","['Big Fish Games']","['Single-player', 'Family Sharing']","['Adventure', 'Casual']",0,0,"['windows', 'mac']",TRUE,"2023-08-25 0:00:00","[]",1,1,0,0,"1 user reviews",100,0,FALSE,13.99,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2540630,"Cooking Craze","['Matryoshka']","['Big Fish Games']","['Single-player', 'Steam Achievements', 'In-App Purchases']","['Casual', 'Free To Play']",0,68,"['windows']",TRUE,"2024-03-20 0:00:00","[""Cooking Craze - Beginner's Bundle"", 'Cooking Craze - Sweet Bundle', 'Cooking Craze - Savory Bundle', 'Cooking Craze - Spicy Bundle', 'Cooking Craze - Expert Bundle', 'Cooking Craze - Saucy Bundle', 'Cooking Craze - Starter Pack']",0,0,0,0,"No user reviews",0,0,TRUE,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6
2532990,"Cursed Fables: A Voice to Die For Collector's Edition","['Elephant Ar']","['Big Fish Games']","['Single-player', 'Family Sharing']","['Adventure', 'Casual']",0,0,"['windows', 'mac']",TRUE,"2023-08-04 0:00:00","[]",2,2,0,0,"2 user reviews",100,0,FALSE,13.99,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2533230,"Immortal Love: True Treasure","['Friendly Fox']","['Big Fish Games']","['Single-player', 'Family Sharing']","['Adventure', 'Casual']",0,0,"['windows', 'mac']",TRUE,"2023-08-01 0:00:00","[]",2,1,1,0,"2 user reviews",50,0,FALSE,9.99,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2531240,"Crossroads: What Was Lost Collector's Edition","['Elephant AR']","['Big Fish Games']","['Single-player', 'Family Sharing']","['Adventure', 'Casual']",0,0,"['windows', 'mac']",TRUE,"2023-07-28 0:00:00","[]",0,0,0,0,"No user reviews",0,0,FALSE,13.99,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1061540,"Mystery of the Ancients: Three Guardians Collector's Edition","['Mariaglorum']","['Big Fish Games']","['Single-player', 'Family Sharing']","['Adventure', 'Casual']",0,0,"['windows']",TRUE,"2019-04-19 0:00:00","[]",12,12,0,7,"Positive",100,0,FALSE,9.99,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
